,oid,ra,dec
177,CSS_J001623.5-032853,4.098125,-3.481611111111111
178,CSS_J001625.7+215826,4.107083333333334,21.973944444444445
179,CSS_J001625.9+162843,4.10825,16.478666666666665
180,CSS_J001627.0+264107,4.11275,26.685444444444446
181,CSS_J001630.4-154715,4.1269583333333335,-15.78775
182,CSS_J001632.5+310630,4.135416666666667,31.10838888888889
183,CSS_J001636.3+325841,4.151291666666666,32.97819444444445
184,CSS_J001638.9+064436,4.162458333333333,6.743416666666667
185,CSS_J001643.9-153111,4.183041666666667,-15.519833333333333
186,CSS_J001650.0+434455,4.208708333333333,43.74886111111111
187,CSS_J001654.2+401638,4.225833333333333,40.27725
188,CSS_J001658.9-160435,4.245666666666667,-16.07661111111111
189,CSS_J001659.5-153136,4.248083333333334,-15.526805555555555
190,CSS_J001700.9+340313,4.254041666666667,34.053777777777775
191,CSS_J001701.6+165938,4.2567916666666665,16.99411111111111
192,CSS_J001706.7+114246,4.278041666666667,11.712944444444444
193,CSS_J001711.5+061009,4.29825,6.16925
194,CSS_J001714.8+283103,4.311791666666666,28.51775
195,CSS_J001719.6-061245,4.331708333333333,-6.212666666666666
196,CSS_J001721.6-122325,4.34,-12.390527777777777
197,CSS_J001721.8+205433,4.341083333333334,20.909416666666665
198,CSS_J001724.9+200542,4.35375,20.095055555555554
199,CSS_J001733.0-084605,4.3875,-8.768194444444445
200,CSS_J001734.0-073235,4.391791666666666,-7.5432500000000005
201,CSS_J001736.6+205147,4.402708333333333,20.863055555555555
202,CSS_J001738.4+205157,4.410125,20.866027777777777
203,CSS_J001745.5+241845,4.439791666666666,24.312527777777778
204,CSS_J001745.6+214913,4.440166666666666,21.8205
205,CSS_J001746.4+281307,4.4435,28.21863888888889
206,CSS_J001748.1+403356,4.4505,40.56563888888889
207,CSS_J001753.5+334826,4.473125,33.80727777777778
208,CSS_J001756.0-095407,4.483708333333333,-9.901972222222222
209,CSS_J001803.7+431658,4.515666666666666,43.28277777777778
210,CSS_J001804.7+242600,4.519833333333334,24.433527777777776
211,CSS_J001808.0+065340,4.533625,6.894555555555556
212,CSS_J001809.2+350634,4.538583333333333,35.10952777777778
213,CSS_J001810.3+410141,4.543083333333334,41.02822222222222
214,CSS_J001812.9+210201,4.5540416666666665,21.03375
215,CSS_J001813.2-130445,4.555041666666667,-13.079277777777778
216,CSS_J001817.3+441304,4.5720833333333335,44.217888888888886
217,CSS_J001817.7+141027,4.574,14.174277777777778
218,CSS_J001820.9+393138,4.587375,39.52744444444444
219,CSS_J001824.0+235157,4.600208333333334,23.866083333333332
220,CSS_J001825.6+095236,4.607,9.876833333333334
221,CSS_J001830.2+374744,4.626,37.795611111111114
222,CSS_J001831.3+302557,4.630416666666667,30.432583333333334
223,CSS_J001834.6+045019,4.644291666666667,4.838694444444444
224,CSS_J001836.2-191522,4.651083333333333,-19.256194444444443
225,CSS_J001843.7+394107,4.682166666666666,39.68530555555556
226,CSS_J001845.2+071014,4.688583333333334,7.1706111111111115
227,CSS_J001845.4+401614,4.689333333333333,40.270805555555555
228,CSS_J001845.8+052735,4.690833333333333,5.459805555555556
229,CSS_J001849.2-160752,4.7050833333333335,-16.131305555555556
230,CSS_J001850.2+400404,4.7095,40.067861111111114
231,CSS_J001850.4+283328,4.710041666666666,28.557777777777776
232,CSS_J001852.8+315344,4.72025,31.895555555555557
233,CSS_J001859.6+253521,4.748375,25.589388888888887
234,CSS_J001902.9+244938,4.76225,24.827472222222223
235,CSS_J001906.9+415604,4.779,41.9345
236,CSS_J001907.0+395711,4.779166666666667,39.95311111111111
237,CSS_J001907.1+340056,4.779708333333334,34.01563888888889
238,CSS_J001910.4+394149,4.7935,39.69711111111111
239,CSS_J001913.6+384811,4.806875,38.80327777777778
240,CSS_J001914.8+321206,4.811875,32.20188888888889
241,CSS_J001919.7+445720,4.832291666666666,44.955555555555556
242,CSS_J001921.2+221153,4.838541666666667,22.198055555555555
243,CSS_J001923.3-150429,4.847208333333334,-15.074722222222222
244,CSS_J001925.6+262145,4.856875,26.3625
245,CSS_J001930.9+201446,4.878958333333333,20.246277777777777
246,CSS_J001933.6+394611,4.890041666666667,39.76980555555556
247,CSS_J001934.7+262320,4.894875,26.389083333333332
248,CSS_J001936.6+244545,4.902791666666666,24.76263888888889
249,CSS_J001937.1-111956,4.904833333333333,-11.332333333333333
250,CSS_J001937.9+314055,4.908041666666667,31.68197222222222
251,CSS_J001945.2+361853,4.938583333333334,36.31480555555556
252,CSS_J001946.6+223036,4.944541666666667,22.51011111111111
253,CSS_J001948.9+184800,4.954083333333333,18.800055555555556
254,CSS_J001949.5+163914,4.956291666666667,16.654055555555555
255,CSS_J001949.9+232058,4.958208333333333,23.349694444444445
256,CSS_J001950.2+364109,4.959291666666667,36.68588888888889
257,CSS_J001950.2+364107,4.959416666666667,36.68536111111111
258,CSS_J001954.9+153511,4.9790833333333335,15.586388888888889
259,CSS_J001957.3-130924,4.989,-13.156694444444444
260,CSS_J001957.7+380612,4.990625,38.10355555555556
261,CSS_J001958.9+403230,4.995708333333333,40.54186111111111
262,CSS_J002001.5+285203,5.006375,28.867638888888887
263,CSS_J002002.3+382928,5.009666666666667,38.491166666666665
264,CSS_J002003.1+112338,5.013208333333333,11.394055555555555
265,CSS_J002006.6+422548,5.027625,42.43025
266,CSS_J002011.4+181918,5.0475,18.32186111111111
267,CSS_J002013.7+372013,5.057291666666667,37.33694444444444
268,CSS_J002015.0+315823,5.0625,31.973222222222223
269,CSS_J002016.8+434428,5.070166666666666,43.741166666666665
270,CSS_J002017.2+265127,5.071791666666667,26.857666666666667
271,CSS_J002019.2+151105,5.08025,15.184805555555556
272,CSS_J002020.4+331410,5.085041666666666,33.23636111111111
273,CSS_J002032.1+260838,5.13375,26.14413888888889
274,CSS_J002035.9+084346,5.149958333333333,8.729583333333334
275,CSS_J002037.8+312906,5.157625,31.48511111111111
276,CSS_J002038.6+223409,5.161125,22.569388888888888
277,CSS_J002044.1+432237,5.184,43.37711111111111
278,CSS_J002049.0+141721,5.204208333333334,14.289277777777778
279,CSS_J002050.5+030217,5.21075,3.0382777777777776
280,CSS_J002051.8+341610,5.215916666666667,34.269555555555556
281,CSS_J002052.1+362916,5.217333333333333,36.48777777777778
282,CSS_J002053.4+120627,5.222708333333333,12.107527777777777
283,CSS_J002056.0+270925,5.233416666666667,27.157027777777778
284,CSS_J002056.0+241054,5.233666666666666,24.18166666666667
285,CSS_J002103.0+402925,5.262791666666667,40.4905
286,CSS_J002105.3+322917,5.272333333333333,32.488166666666665
287,CSS_J002117.7-033436,5.324125,-3.5769166666666665
288,CSS_J002122.2+450654,5.342708333333333,45.11516666666667
289,CSS_J002125.2-102957,5.355375,-10.499361111111112
290,CSS_J002125.4+360834,5.355916666666666,36.14277777777778
291,CSS_J002129.8+360730,5.374208333333334,36.12511111111111
292,CSS_J002131.0+433040,5.379166666666666,43.51116666666667
293,CSS_J002139.0+204512,5.4125,20.753416666666666
294,CSS_J002139.5+341408,5.414916666666667,34.23561111111111
295,CSS_J002139.6-194251,5.415125,-19.714333333333332
296,CSS_J002140.5+280926,5.418875,28.15727777777778
297,CSS_J002142.3+381237,5.426625,38.21041666666667
298,CSS_J002143.0+170315,5.429333333333333,17.054194444444445
299,CSS_J002143.8+381733,5.4325833333333335,38.29275
300,CSS_J002144.8+441421,5.436875,44.23925
301,CSS_J002147.4+095913,5.447791666666666,9.987083333333333
302,CSS_J002147.4+311302,5.447791666666666,31.217222222222222
303,CSS_J002148.5+205512,5.452208333333333,20.920166666666667
304,CSS_J002148.6+310108,5.452875,31.019083333333334
305,CSS_J002149.2-173725,5.455041666666666,-17.62375
306,CSS_J002149.8-163701,5.457541666666667,-16.61702777777778
307,CSS_J002150.7+135506,5.461458333333334,13.918555555555555
308,CSS_J002153.7+270432,5.474083333333334,27.075805555555554
309,CSS_J002154.1+263119,5.4755416666666665,26.521944444444443
310,CSS_J002154.5+380128,5.477333333333333,38.02461111111111
311,CSS_J002154.9+352348,5.479,35.39680555555555
312,CSS_J002155.2+295315,5.480375,29.887611111111113
313,CSS_J002157.4+201003,5.48925,20.167638888888888
314,CSS_J002158.4+252934,5.493458333333333,25.49288888888889
315,CSS_J002158.8+030401,5.495166666666667,3.0669444444444443
316,CSS_J002200.7+225433,5.503125,22.909416666666665
317,CSS_J002205.3+315333,5.522291666666667,31.89263888888889
318,CSS_J002212.9+364541,5.553791666666666,36.76144444444444
319,CSS_J002215.5-100234,5.56475,-10.042916666666667
320,CSS_J002216.6+194049,5.569208333333333,19.680444444444444
321,CSS_J002218.0+421012,5.575375,42.170027777777776
322,CSS_J002218.2-171811,5.575958333333333,-17.303166666666666
323,CSS_J002222.4+320323,5.593458333333333,32.05663888888889
324,CSS_J002223.4+342204,5.597833333333333,34.367805555555556
325,CSS_J002223.8+351946,5.5994166666666665,35.32961111111111
326,CSS_J002224.5+235445,5.602125,23.912555555555556
327,CSS_J002230.3-100004,5.626458333333334,-10.001222222222221
328,CSS_J002230.8-183246,5.628458333333334,-18.54613888888889
329,CSS_J002232.9+293257,5.637083333333333,29.549222222222223
330,CSS_J002234.2+364349,5.6425,36.73041666666667
331,CSS_J002235.6-051207,5.648541666666667,-5.202194444444444
332,CSS_J002238.0+405405,5.658625,40.90161111111111
333,CSS_J002243.9-025137,5.683166666666667,-2.8605
334,CSS_J002244.5+334932,5.685708333333333,33.82563888888889
335,CSS_J002246.2+122535,5.692541666666667,12.426416666666666
336,CSS_J002250.5+370708,5.710583333333333,37.11888888888889
337,CSS_J002251.1+384717,5.712958333333333,38.78816666666667
338,CSS_J002258.9+062535,5.745708333333333,6.426388888888889
339,CSS_J002258.9+364331,5.745791666666666,36.72552777777778
340,CSS_J002304.3+230825,5.76825,23.140305555555557
341,CSS_J002307.9+101659,5.78325,10.283138888888889
342,CSS_J002309.8-072522,5.791041666666667,-7.422833333333333
343,CSS_J002310.1-050256,5.792333333333334,-5.048916666666667
344,CSS_J002313.6+073318,5.806875,7.555166666666667
345,CSS_J002316.6-135536,5.819458333333333,-13.926805555555555
346,CSS_J002319.4+422946,5.8308333333333335,42.49616666666667
347,CSS_J002323.7+263115,5.849083333333334,26.520833333333332
348,CSS_J002326.3+415501,5.859583333333333,41.91694444444445
349,CSS_J002328.2+040635,5.867791666666666,4.1097777777777775
350,CSS_J002328.4+241619,5.868375,24.272055555555557
351,CSS_J002334.6+200027,5.894166666666667,20.00775
352,CSS_J002338.8+283745,5.91175,28.629277777777776
353,CSS_J002342.4+233828,5.9267916666666665,23.64113888888889
354,CSS_J002343.8+210926,5.932625,21.15736111111111
355,CSS_J002343.9+210926,5.933041666666667,21.15727777777778
356,CSS_J002349.2-135352,5.955041666666666,-13.897972222222222
357,CSS_J002352.4+410834,5.968458333333333,41.142805555555555
358,CSS_J002352.8+370504,5.970208333333334,37.084694444444445
359,CSS_J002354.7+415912,5.978083333333333,41.98672222222222
360,CSS_J002355.3+192036,5.980791666666667,19.34347222222222
361,CSS_J002355.8+420914,5.98275,42.15408333333333
362,CSS_J002357.9+402857,5.99125,40.48255555555556
363,CSS_J002358.0+052711,5.991833333333333,5.453055555555555
364,CSS_J002404.1+363026,6.017291666666667,36.50725
365,CSS_J002404.9+230500,6.020583333333334,23.083333333333332
366,CSS_J002406.5+323301,6.02725,32.55041666666666
367,CSS_J002407.2-142646,6.030125,-14.446111111111112
368,CSS_J002408.4+254105,6.035083333333334,25.684722222222224
369,CSS_J002410.3+310856,6.043208333333333,31.149083333333333
370,CSS_J002411.5+241716,6.047916666666667,24.287861111111113
371,CSS_J002413.9+381356,6.058291666666666,38.23238888888889
372,CSS_J002414.1-025012,6.058791666666667,-2.836666666666667
373,CSS_J002414.1+373848,6.059125,37.64675
374,CSS_J002414.5-192554,6.060416666666667,-19.431805555555556
375,CSS_J002415.0+312147,6.062833333333334,31.363305555555556
376,CSS_J002417.5+362510,6.073125,36.419666666666664
377,CSS_J002424.3-130707,6.101583333333333,-13.118638888888889
378,CSS_J002425.3+393423,6.10575,39.57311111111111
379,CSS_J002427.3+345429,6.114125,34.90819444444445
380,CSS_J002429.2+114626,6.121833333333333,11.774027777777778
381,CSS_J002429.3+283121,6.122125,28.52252777777778
382,CSS_J002434.0+444941,6.142,44.82811111111111
383,CSS_J002435.2+073425,6.146708333333334,7.57375
384,CSS_J002439.2+245521,6.163583333333333,24.922555555555554
385,CSS_J002441.9+424745,6.174625,42.795972222222225
386,CSS_J002450.2+250918,6.20925,25.155055555555556
387,CSS_J002451.1+422805,6.2130833333333335,42.46813888888889
388,CSS_J002452.6+311153,6.2195,31.198055555555555
389,CSS_J002455.4+333740,6.230958333333334,33.627805555555554
390,CSS_J002456.8+372602,6.236791666666667,37.43413888888889
391,CSS_J002458.0+444100,6.241958333333334,44.68336111111111
392,CSS_J002459.0+060732,6.246208333333334,6.1257777777777775
393,CSS_J002459.9+093725,6.249625,9.623777777777779
394,CSS_J002500.9+384928,6.25375,38.82447222222222
395,CSS_J002502.2+390618,6.259416666666667,39.10508333333333
396,CSS_J002505.9+234143,6.274916666666667,23.695416666666667
397,CSS_J002506.5+152726,6.277375,15.457277777777778
398,CSS_J002506.9+362840,6.279041666666667,36.47794444444445
399,CSS_J002509.1+385544,6.288166666666666,38.92894444444445
400,CSS_J002509.3+181214,6.288916666666666,18.204
401,CSS_J002511.2+413358,6.29675,41.56613888888889
402,CSS_J002512.3+080048,6.301333333333333,8.013361111111111
403,CSS_J002512.4+142721,6.302,14.455861111111112
404,CSS_J002512.6+292530,6.302625,29.425194444444443
405,CSS_J002512.7+333811,6.3032916666666665,33.63661111111111
406,CSS_J002513.5+063521,6.306583333333333,6.589388888888889
407,CSS_J002516.5+324634,6.319083333333333,32.776361111111115
408,CSS_J002523.3-031523,6.347416666666667,-3.2564166666666665
409,CSS_J002532.4+200135,6.385083333333333,20.026416666666666
410,CSS_J002532.6+293737,6.386083333333334,29.627111111111113
411,CSS_J002532.7+293737,6.386375,29.627
412,CSS_J002533.1-051830,6.387958333333334,-5.308416666666667
413,CSS_J002537.2+184930,6.405,18.825
414,CSS_J002538.1+332603,6.409125,33.43436111111111
415,CSS_J002538.5-190032,6.41075,-19.008916666666668
416,CSS_J002540.5+383210,6.418875,38.53611111111111
417,CSS_J002542.2-140815,6.426125,-14.1375
418,CSS_J002546.1+430209,6.442083333333334,43.035833333333336
419,CSS_J002551.6+323700,6.465291666666666,32.61688888888889
420,CSS_J002553.0+300712,6.470958333333333,30.12025
421,CSS_J002553.7+230542,6.473916666666667,23.095027777777776
422,CSS_J002555.1+331237,6.479625,33.210388888888886
423,CSS_J002557.6+274735,6.490208333333333,27.793194444444445
424,CSS_J002601.5+254659,6.506458333333334,25.78313888888889
425,CSS_J002605.1-170227,6.52125,-17.04088888888889
426,CSS_J002607.2+253802,6.53,25.634027777777778
427,CSS_J002607.4-123543,6.530916666666666,-12.595444444444444
428,CSS_J002607.9-082944,6.53325,-8.495805555555556
429,CSS_J002608.9+352027,6.537416666666667,35.340944444444446
430,CSS_J002609.9+184107,6.541333333333333,18.685416666666665
431,CSS_J002618.9+424144,6.579041666666667,42.69569444444444
432,CSS_J002619.4+324559,6.581125,32.766416666666665
433,CSS_J002619.6+324558,6.58175,32.766305555555554
434,CSS_J002620.0+270834,6.583625,27.143
435,CSS_J002629.5+445324,6.623166666666667,44.890166666666666
436,CSS_J002629.9+421231,6.624875,42.20875
437,CSS_J002631.7+143429,6.63225,14.574916666666667
438,CSS_J002635.8+313125,6.649208333333333,31.523777777777777
439,CSS_J002641.1+415921,6.671458333333334,41.98927777777778
440,CSS_J002647.2+031027,6.696666666666666,3.1743888888888887
441,CSS_J002647.8+382944,6.6995000000000005,38.49572222222222
442,CSS_J002648.7+415004,6.702958333333333,41.83444444444444
443,CSS_J002649.0+161655,6.704541666666667,16.282055555555555
444,CSS_J002649.1+120752,6.704666666666666,12.13113888888889
445,CSS_J002650.3+285656,6.709875,28.948916666666666
446,CSS_J002652.3+353231,6.718041666666666,35.54197222222222
447,CSS_J002653.4-155025,6.722666666666667,-15.840388888888889
448,CSS_J002654.3+381955,6.726541666666667,38.332
449,CSS_J002655.3-061820,6.730458333333333,-6.305722222222222
450,CSS_J002659.1+350322,6.746458333333333,35.05625
451,CSS_J002702.6+032056,6.760916666666667,3.3490277777777777
452,CSS_J002705.4+172552,6.772875,17.43122222222222
453,CSS_J002705.5+292738,6.77325,29.460722222222223
454,CSS_J002706.6+233426,6.777875,23.57402777777778
455,CSS_J002707.4+340907,6.780833333333334,34.15208333333333
456,CSS_J002709.8+313637,6.791125,31.61052777777778
457,CSS_J002712.1+062414,6.800583333333333,6.403972222222222
458,CSS_J002715.1+385933,6.813166666666667,38.992555555555555
459,CSS_J002716.6+421203,6.819166666666667,42.201
460,CSS_J002720.1-055519,6.834,-5.922138888888889
461,CSS_J002722.8+251000,6.8453333333333335,25.16686111111111
